Date,Pack,Cause,Age
1/22/2019,Alone,Harvest,Old Adult
9/12/2019,Alone,Unknown, Adult
10/29/2019,Mollie's,Harvest,Yearling
11/19/2019,Junction Butte,Vehicle,Pup
11/19/2019,Junction Butte,Vehicle,Pup
12/10/2019,Phantom Lake,Harvest,Pup
12/10/2019,Phantom Lake,Harvest,Pup
1/3/2018,Wapiti Lake,Natural Unknown,Adult
2/28/2018,Cougar Creek,Human,Old Adult
3/29/2018,Mollie's,Natural Unknown,Old Adult
4/10/2017,8 Mile,Interspecific,Old Adult
4/29/2017,Prospect Peak,Intraspecific,Old Adult
8/21/2017,Snake River,Natural Unknown,Old Adult
8/24/2017,Lamar Canyon,Disease,Old Adult
3/14/2016,Prospect Peak,Intraspecific,Pup
3/22/2016,dispersed from Junction Butte,Control Action,Yearling
4/30/2016,Junction Butte,Natural Unknown,Old Adult
6/26/2016,Lamar Canyon,Interspecific,Adult
9/15/2016,Junction Butte,Intraspecific,Old Adult
3/16/2015,Alone,Malnutrition,Old Adult
3/7/2015,Lamar Canyon,Intraspecific,Adult
11/21/2015,Unknown,Harvest,Yearling
10/28/2015,Mollie's,Natural,Yearling
8/22/2015,Mollie's,Interspecific,Adult
1/17/2014,Mollie's,Capture,Pup
2/14/2014,8 Mile,Avalanche,Pup
10/31/2014,8 Mile,Intraspecific,Adult
11/5/2014,Cougar Creek,Harvest,Old Adult
11/5/2014,Unknown,Harvest,Adult
3/14/2013,755M/759F Group,Intraspecific,Adult
3/21/2013,758M Group,Intraspecific,Adult
5/5/2013,Canyon,Control action,Adult
8/24/2013,Unknown,Control action,Adult
9/8/2013,"Unknown, formerly Yellowstone Delta",Vehicle,Adult
9/15/2013,"Loner, formerly Mollie's",Intraspecific,Old Adult
10/31/2013,Blacktail,Unknown,Old Adult
3/22/2012,Blacktail,Intraspecific,Adult
4/10/2012,Agate Creek,Intraspecific,Old Adult
4/11/2012,Mary Mountain,Intraspecific,Pup
4/13/2012,Mary Mountain,Intraspecific,Yearling
5/14/2012,Yellowstone Delta,Vehicle,Adult
5/22/2012,Mary Mountain,Natural Unknown,Adult
6/1/2012,Junction Butte,Intraspecific,Adult
8/3/2012,Mollie's,Intraspecific,Adult
8/11/2012,Junction Butte,Intraspecific,Adult
10/30/2012,Mollie's,Harvest,Yearling
11/1/2012,Blacktail,Harvest,Yearling
11/11/2012,Lamar Canyon,Harvest,Adult
11/13/2012,Junction Butte,Harvest,Yearling
12/6/2012,Lamar Canyon,Harvest,Adult
10/7/2012,Snake River,Harvest,Adult
3/14/2011,Grayling Creek,Vehicle,Adult
4/26/2011,Unknown,Natural Unknown,Adult
8/24/2011,Mollie's,Interspecific,Old Adult
10/5/2011,642F group,Harvest,Adult
10/25/2011,Agate Creek,Intraspecific,Old Adult
11/5/2011,Alone,Illegal,Adult
11/25/2011,Agate Creek,Intraspecific,Adult
12/17/2011,Agate Creek,Intraspecific,Adult
12/1/2011,Mary Mountain,Intraspecific,Adult
12/22/2011,Agate Creek,Intraspecific,Yearling
1/23/2010,Druid Peak,Intraspecific,Adult
2/12/2010,Druid Peak,Intraspecific,Adult
2/21/2010,Druid Peak,Natural Unknown,Adult
2/27/2010,Gibbon Meadows,Natural Unknown,Old Adult
3/1/2010,"Loner, formerly Druid Peak",Natural Unknown,Old Adult
3/10/2010,Dispersed to Slough from Agate Creek,Disease,Adult
8/6/2010,Silver,Interspecific,Yearling
10/31/2010,Silver,Intraspecific,Adult
12/1/2010,Agate Creek,Intraspecific,Old Adult
3/12/2009,Leopold,Control Action,Yearling
4/14/2009,694F group,Intraspecific,Adult
6/3/2009,Bechler,Natural Unknown,Old Adult
9/24/2009,Cottonwood,Harvest,Adult
10/3/2009,Cottonwood,Harvest,Old Adult
10/7/2009,Blacktail,Intraspecific,Old Adult
10/15/2009,Druid Peak,Intraspecific,Adult
11/5/2009,Oxbow,Malnutrition,Adult
11/5/2009,Grayling Creek,Natural Unknown,Adult
12/29/2009,682M group,Intraspecific,Adult
1/2/2008,Bechler,Unknown,Adult
4/14/2008,Disperser from Leopold,Intraspecific,Adult
7/28/2008,Slough Creek,Natural Unknown,Adult
8/4/2008,Agate Creek,Intraspecific,Adult
8/12/2008,Leopold,Intraspecific,Adult
9/3/2008,Slough Creek,Intraspecific,Adult
9/6/2008,Slough Creek,Intraspecific,Adult
9/13/2008,Leopold,Intraspecific,Old Adult
9/19/2008,Oxbow,Intraspecific,Adult
9/24/2008,Oxbow,Natural Unknown,Yearling
10/2/2008,Cougar Creek,Natural Unknown,Old Adult
10/9/2008,Oxbow,Disease,Adult
10/26/2008,Agate Creek,Intraspecific,Yearling
10/27/2008,Slough Creek,Intraspecific,Yearling
11/14/2008,Leopold,"Disease",Yearling
11/18/2008,Slough Creek,Intraspecific,Yearling
12/5/2008,Leopold,Malnutrition,Adult
2/14/2007,Hellroaring,Intraspecific,Adult
5/8/2007,Disperser from Druid Peak,Unknown,Adult
5/6/2007,Mollie's,Vehicle,Adult
7/4/2007,Agate Creek,Intraspecific,Adult
10/30/2007,Hayden Valley,Intraspecific,Old Adult
10/30/2007,Hayden Valley,Intraspecific,Old Adult
1/1/2006,Dispersed from Leopold,Natural Unknown,Adult
4/28/2006,Slough Creek,Intraspecific,Adult
6/11/2006,Dispersed from Slough,Control Action,Adult
12/3/2006,Disperser,Illegal,Adult
4/21/2006,Dispersed from Yell. Delta,Unknown,Adult
4/4/2006,Slough Creek,Intraspecific,Adult
2/20/2006,Dispersed from Yell. Delta,Unknown,Yearling
2/11/2006,Hellroaring,Intraspecific,Adult
